,alpha_gluon,beta_gluon,alpha_up,beta_up,epsilon_up,gamma_up,alpha_down,beta_down,epsilon_down,gamma_down,norm_sigma,alpha_sigma,beta_sigma
111,1.62469e+00,1.32570e-01,3.15622e+00,2.28133e+00,1.32602e+00,4.24015e-01,2.10167e+00,1.47007e+00,2.46742e+00,9.51070e-01,1.43081e-01,2.90237e-01,9.45305e-01
112,1.21113e+00,1.39088e-01,1.05063e+00,7.91702e-01,2.42235e+00,2.85862e+00,4.01365e-01,2.31675e+00,1.20813e+00,2.63981e+00,2.86936e+00,3.15708e+00,2.83316e+00
113,1.36886e+00,1.55062e-01,2.44295e+00,6.15553e-01,2.62281e+00,1.75808e+00,8.92575e-01,2.29970e-01,1.76586e+00,1.53545e+00,3.04369e+00,2.90598e+00,2.82736e+00
114,1.45799e+00,1.43425e-01,1.85989e+00,6.31430e-01,3.10319e+00,1.94542e+00,1.09756e+00,3.39915e+00,2.89945e+00,1.57514e+00,2.36967e+00,3.29522e+00,4.53155e-01
115,1.27414e+00,1.48536e-01,7.82499e-01,2.37378e-01,8.23047e-01,1.36519e+00,3.39386e+00,2.71672e+00,2.44369e+00,3.19623e+00,2.61370e+00,8.11532e-01,2.55569e+00
116,1.58496e+00,1.65572e-01,2.36227e+00,3.32714e+00,2.28574e+00,1.72184e-01,6.75367e-01,2.39263e-01,2.59708e+00,2.62016e+00,8.68018e-01,3.06882e+00,2.49743e+00
117,1.31058e+00,1.35397e-01,2.96943e-01,3.28327e+00,3.19795e+00,1.41670e+00,2.32666e-01,9.20708e-01,2.52462e+00,1.46729e+00,3.13811e+00,1.21762e+00,1.75139e-01
118,1.32292e+00,1.06007e-01,2.25818e+00,1.08442e+00,1.80109e-01,7.68773e-01,1.17840e-01,1.89973e+00,2.09373e+00,1.72938e+00,3.29165e+00,1.51249e+00,1.08850e+00
119,1.45845e+00,1.16337e-01,9.25037e-01,3.39047e+00,1.88814e+00,3.28242e+00,6.78582e-01,6.96302e-01,1.91074e+00,2.87057e+00,1.63543e+00,1.37978e+00,3.39151e+00
120,1.29657e+00,9.73348e-02,1.29984e+00,2.01298e+00,2.02699e+00,3.03740e+00,1.75049e+00,1.36483e+00,3.09557e+00,2.52347e+00,1.10562e+00,1.93650e+00,3.12970e+00
121,1.30450e+00,1.48113e-01,3.20295e+00,1.46159e+00,3.31170e+00,6.55256e-02,1.00130e+00,5.91213e-01,3.25857e+00,4.62884e-01,1.36948e+00,1.36254e+00,1.74603e+00
